audio	n_frames	sr	src_text	vtgttxt
buffer/common_voice_en_560247.wav	22656	16000	THE ONE IN THERE	v30616
buffer/common_voice_en_121816.wav	22656	16000	THAT'S WHAT I MEAN	v17136
buffer/common_voice_en_58011.wav	22656	16000	YOU'RE FAR TOO VALUABLE	v14912
buffer/common_voice_en_665708.wav	23040	16000	HOW ABOUT THAT CHECK	v31861
buffer/common_voice_en_17724246.wav	23040	16000	MONEY MAKES THE MARE TO GO	v9280
buffer/common_voice_en_17760561.wav	23040	16000	SO FAR SO GOOD	v30500
buffer/common_voice_en_552062.wav	23040	16000	IN MY HEART OF HEARTS	v10693
buffer/common_voice_en_79988.wav	23040	16000	WHAT ELSE ARE YOU	v9334
buffer/common_voice_en_610152.wav	23040	16000	I CAN SEE THAT	v8211
buffer/common_voice_en_513892.wav	23040	16000	MAYBE THE WATER WAS TOO HOT	v8100
buffer/common_voice_en_652033.wav	23040	16000	BUT A LOVELY CHAP	v8396
buffer/common_voice_en_17733774.wav	23040	16000	IT WAS TOO LATE	v11463
buffer/common_voice_en_18261292.wav	23040	16000	THE CLOTHES WERE TORN	v6399
buffer/common_voice_en_51193.wav	23040	16000	YOU THINK YOU DID	v777
buffer/common_voice_en_174905.wav	23424	16000	I'LL CALL THE POLICE	v23089
buffer/common_voice_en_78341.wav	23424	16000	JUST STEP ON IT	v16573
buffer/common_voice_en_652062.wav	23424	16000	I'M ON THE JOB	v903
buffer/common_voice_en_121732.wav	23424	16000	WHERE DO YOU COME FROM	v25509
buffer/common_voice_en_50119.wav	23424	16000	JOIN THE CLUB	v23936
buffer/common_voice_en_158533.wav	23808	16000	NOW YOU GOT ME	v3666
buffer/common_voice_en_165601.wav	23808	16000	DON'T MIND THE COLONEL	v16608
buffer/common_voice_en_12501.wav	23808	16000	WILL IT SNOW IN GRANBURY	v8762
buffer/common_voice_en_50786.wav	23808	16000	NEVER GIVE UP	v8636
buffer/common_voice_en_51196.wav	23808	16000	TRY IT AGAIN	v22105
buffer/common_voice_en_618338.wav	24192	16000	WHAT DO THEY WANT	v1644
buffer/common_voice_en_212176.wav	24192	16000	DO YOU KNOW AHMED	v2214
buffer/common_voice_en_52902.wav	24192	16000	NEVER GIVE UP	v18998
buffer/common_voice_en_112667.wav	24192	16000	KEEP HIM IN HERE	v26408
buffer/common_voice_en_184932.wav	24192	16000	WHEN DID YOU GET BACK	v21333
buffer/common_voice_en_74396.wav	24192	16000	GOT TO GET SOME PRACTICE	v14040
buffer/common_voice_en_513869.wav	24192	16000	BECAUSE I DON'T LOVE HIM	v12852
buffer/common_voice_en_18401.wav	24192	16000	A BOY SURFS	v19181
buffer/common_voice_en_649393.wav	24192	16000	BEGGAR ALL DESCRIPTION	v31177
buffer/common_voice_en_649517.wav	24192	16000	'TIS HIGH TIME	v27764
buffer/common_voice_en_17385218.wav	24192	16000	SO FAR SO GOOD	v18275
buffer/common_voice_en_662135.wav	24192	16000	THEY'LL BELIEVE HIM	v7689
buffer/common_voice_en_662147.wav	24192	16000	ALL THE BEST	v25496
buffer/common_voice_en_121103.wav	24192	16000	CAN I HELP YOU	v28968
buffer/common_voice_en_78413.wav	24192	16000	I FEEL SO GOOD I COULD SPIT	v17023
buffer/common_voice_en_650586.wav	24192	16000	HEY FOXY	v940
buffer/common_voice_en_559527.wav	24192	16000	I DID NOT KNOW	v4301
buffer/common_voice_en_559533.wav	24192	16000	HIGH VOLTAGE	v25419
buffer/common_voice_en_673856.wav	24192	16000	I'M SURE YOU HAVEN'T ANY	v12403
buffer/common_voice_en_17279690.wav	24192	16000	CAPITAL TOWN	v10700
buffer/common_voice_en_17684941.wav	24192	16000	WHAT DID YOU THINK	v26197
